,Cont,tc,td,tr,ac,tp1,dp1,tt,tp1.1,p,leb.b,l6.b,uhc,gdp20
Qatar,Asia,145865,246,142695,2924,51950,88,1286667,458247,2807805,66.87,15.77,68,86941036
Romania,Europe,671284,16654,598610,56020,35019,869,5017624,261753,19169275,71.11,16.44,70,28515475
Russian Federation,Europe,3401954,61837,2778889,561228,23306,424,93500000,640553,145967675,71.39,18.19,73,25916478
Rwanda,Africa,9630,120,6974,2536,734,9,767448,58496,13119689,65.29,16.38,71,2263527
Saint Vincent and the Grenadines,North America,225,NA,106,119,2025,NA,21273,191430,111127,71.89,19.62,63,12406386
Sao Tome and Principe,Africa,1066,17,988,61,4817,77,7498,33883,221292,68.51,17.05,58,11606012
Saudi Arabia,Asia,363809,6291,355548,1970,10365,179,11344428,323216,35098649,63.45,17.07,53,3629908
Senegal,Africa,21245,465,18218,2562,1252,27,287223,16922,16973801,70.52,17.5,73,43777345
Serbia,Europe,359689,3582,31536,324571,41255,411,2399702,275238,8718639,58.6,16.61,44,3276067
Seychelles,Africa,531,1,278,252,5382,10,5200,52701,98669,71.43,17.11,65,17824233
Sierra Leone,Africa,2834,77,1983,774,352,10,NA,NA,8061886,71.87,18.97,71,24964859
Singapore,Asia,58907,29,58636,242,10027,5,5617894,956295,5874643,48.73,15.37,36,1618583
Slovakia,Europe,208209,2918,147275,58016,38126,534,1536183,281298,5461046,78.44,21.46,85,90447363
Slovenia,Europe,139281,2998,111864,24419,66991,1442,716375,344562,2079090,73.3,18.51,75,30448585
Solomon Islands,Oceania,17,NA,10,7,24,NA,4500,6469,695672,76.05,20.47,79,36429795
South Africa,Africa,1231597,33163,966368,232066,20629,555,7183893,120329,59702305,49.87,13.07,22,11269062
South Sudan,Africa,3649,63,3165,421,324,6,79472,7056,11262850,55.75,16.22,69,11269062
Spain,Europe,2050360,51874,NA,NA,43844,1109,27839319,595310,46764390,54.15,16.3,30,836027
Sri Lanka,Asia,48380,232,41325,6823,2254,11,1376607,64145,21460786,79.08,22.7,81,36086104
Sudan (until 2011),Africa,23316,1468,13524,8324,525,33,NA,NA,44383875,62.47,17.27,42,3547176
Suriname,South America,7008,133,6276,599,11890,226,29904,50736,589406,69.94,18.93,70,13817378
Sweden,Europe,489471,9433,NA,NA,48307,931,4717676,465596,10132561,79.57,22.42,85,49646439
